# Palladium 1.0 requirement manifest — CLOSED INVENTORY.
#
# WHAT THIS IS, AND WHAT IT IS NOT. One row per thing the normative specification
# (language-spec.md Part I, N1-N14) requires, plus the one feature-list item kept
# in 1.0 (C FFI). It is the ENUMERATION. It is deliberately NOT the gate.
#
# 1.0 IS `make thesis-exit`: bootstrap/pdc.pd rewritten in the differentiated
# dialect — ref/ref mut with inferred regions, a discharged #[total], inferred
# effects and no async/await — still reaching a byte-identical stage1/stage2
# fixed point, with a second witness program meeting the same conditions.
#
# WHAT `satisfied` MEANS, AND THE QUESTION THAT CATCHES A ROW WHOSE TRUTH IS
# CONDITIONAL. `satisfied` means WITNESSED BY THE CITED EVIDENCE — an instance —
# never "holds for every program". The useful test on any row is not "is this true
# today" but: WHAT WOULD HAVE TO BE TRUE OF THE PROGRAM UNDER TEST, AND DOES THIS
# ROW SAY IT? A row that survives only because no witness exercises an excluded
# feature has the same defect as one that is simply wrong, and it is harder to see.
#
# The instance that produced this paragraph: SH-01's byte-identical fixed point is
# green because PBS-1 excludes BOTH imports and generics, and there are two
# independent unordered emission sources — one per exclusion, separated by
# measurement, not inference. The row asserted the property and stated neither
# condition. It states both now, and SH-05 carries both obligations.
#
# WHY NOT "the inventory has no unmet rows". Because that is a COMPLETENESS
# criterion, and completeness criteria are what this repository spent M1 burning
# out: `progress: 85%`, "Bootstrap 100% Complete", "Self-Hosting 100%". Draw the
# line on an inventory and the same disease returns under a new name. A vacuous
# fixture can print "unimplemented" and PASS; a compiler cannot compile itself
# vacuously. The fixed point is the one artifact here that structurally cannot
# lie, so it is what the definition rests on, and scope follows from what the
# compiler actually uses rather than from argument.
#
# WHY THE ENUMERATION STILL EXISTS. So that nothing is dropped silently. A
# requirement the thesis does not exercise is marked `post-1.0` HERE, in writing,
# with an owner — it is not deleted, and it is not quietly absent. The previous
# draft of this file made the enumeration the gate; that criterion went green
# with all three differentiators unimplemented, because N7/N8/N9 anchor no rows
# in feature-index.toml precisely BECAUSE they are unimplemented.
#
# CLOSED, in the same sense as tests/conformance-manifest.txt:
#   - Every row needs an owner, an evidence kind, an evidence locator and a
#     disposition.
#   - A `satisfied` row whose evidence stops resolving turns the gate RED. That
#     is what stops the debt inventories from shrinking by deletion: an
#     `#[ignore]` test can be deleted and cargo's list simply gets shorter, but
#     a row here that names it fails.
#   - Deleting a row, moving it between milestones, or moving it to `post-1.0`
#     is a CONTRACT TRANSITION and is reviewed as one.
#   - RECONCILIATION, both directions. Every red row in either debt inventory
#     must map to a row here, and every `owed` row here must name evidence that
#     does not yet pass:
#       * conformance: every `xfail` and `vacuous` row in
#         tests/conformance-manifest.txt must appear in the evidence column of at
#         least one row here. That is checkable today, by path.
#       * Rust tests: every #[ignore = "XFAIL: ..."] must carry a requirement id
#         — `req: N5-06` — and that id must exist here. THIS DOES NOT HOLD YET:
#         the reasons carry a milestone, not a requirement, so today's
#         reconciliation of that inventory is by review, not by command. Adding
#         the id is an edit to tests/ and lands with F9's re-tagging.
#
# COLUMNS (TAB-separated, all NINE mandatory, `-` for N/A):
#   id  milestone  source  requirement  evidence-kind  evidence  status  disposition
#   fingerprint
#
# evidence-kind:
#   fixture     a conformance row of class `run` with a recorded transcript.
#               POSITIVE evidence: the construct is accepted AND produces the
#               right answer. stdout is the runtime observable.
#   reject      a conformance row of class `reject`. NEGATIVE evidence: the
#               compiler must refuse it with the declared diagnostic. FOR AN
#               INFERENCE FEATURE THE REJECTION IS THE PRODUCT — a region
#               inferencer that accepts everything is a no-op, and a no-op
#               disguises itself perfectly as green fixtures. That is exactly
#               what 07_traits_basic.pd did for a year.
#   skip        a conformance row of class `skip`, proven so by the compiler.
#   observable  a Rust integration test asserting a runtime property stdout
#               cannot show — wall-clock overlap, process exit status, the
#               structure of the generated C, a linked symbol.
#   gate        a make target that must exit 0.
#   decision    an owner decision that must be recorded before the row can be
#               written at all. A `blocked` row is not work; it is a question.
#
# status: satisfied | owed | blocked
#   satisfied   the evidence exists and is green TODAY (2026-08-22, 7484bac).
#   owed        the evidence does not exist or does not pass.
#   blocked     cannot be specified until the named decision is made.
#
# disposition: thesis | 1.0 | post-1.0
#   thesis      `make thesis-exit` reads this row directly. These rows ARE the
#               definition of 1.0.
#   1.0         in 1.0: the witnesses exercise it, or the thesis rows rest on it.
#   post-1.0    enumerated and explicitly deferred, owner `P1`. Recorded rather
#               than dropped, so the omission cannot become the next generation's
#               fiction.
#
# fingerprint: for a `reject` row, the diagnostic the refusal MUST carry; `-` otherwise.
#   A rejection is not evidence of a language property unless it is the INTENDED
#   rejection. "Refused because the prohibition is enforced" and "refused for
#   incidental unsupported syntax" are the same verdict to a runner that only sees
#   REJECTED — and a sibling branch can turn a reject fixture green with no compiler
#   change at all. So a thesis reject row NAMES the fingerprint, and the corpus row for
#   that fixture must declare it; scripts/conformance.sh has already matched the
#   declared fingerprint against the actual diagnostic.
#
# A milestone's exit is: no row owned by it is `owed` or `blocked`, and the
# reconciliation above holds. 1.0's exit is `make thesis-exit`.
# See docs/contributing/MILESTONES.md.
#
# N14-17 WAS ADDED 2026-08-23, and an added row is a contract transition like any
# other. Its evidence is `make stdlib-gate` and NOT a fixture: the row says EVERY
# normative builtin is callable, and a single driver spans a few of them. The gate
# holds the whole-registry invariant — Phase 3 requires the manifest's name set to
# equal the registry's, that no row is UNUSABLE, and that `reconcile` finds no
# `Support::Unsupported` entry at all. Evidence has to be as wide as the claim; the
# first version of this row cited `tests/stdlib/stdlib_builtins_file.pd`, which
# exercises the file family while the string and char/argument families are covered
# by other drivers entirely. MILESTONES.md's M2 item 6 DECLARED that `file_flush` and `file_seek` get
# re-based and that the four `*_ex` wrappers go, and no row of this manifest said
# so — which meant the M2 filter could have reached zero-owed with both builtins
# still uncallable and four dead wrappers still emitted into every program. That
# is the unowned-requirement hole this inventory exists to close, reproduced
# inside it. The work is done and the row records the obligation rather than the
# achievement: it goes red the moment any normative builtin is registered and
# refused again. `N14-01` is about the NAME SET and could not have caught it;
# `N14-03` is about SIGNATURES and belongs to M3.
#
# id  milestone  source  requirement  evidence-kind  evidence  status  disposition

# --- N1 Overview and design commitments ------------------------------------
N1-01	M9	N1	Ahead-of-time compilation with no garbage collector	observable	tests/n1_no_gc.rs::no_collector_symbol_is_linked	owed	1.0	-
N1-02	M9	N1	No runtime type information	observable	tests/n1_no_rtti.rs::generated_c_carries_no_type_tags	owed	1.0	-
N1-03	M9	N1	Nothing in Part I depends on the target being C	gate	make selfhost-corpus	owed	1.0	-

# --- N2 Lexical structure ---------------------------------------------------
N2-01	-	N2	Identifiers	fixture	tests/01_lexical_literals.pd	satisfied	1.0	-
N2-02	-	N2	Integer literals	fixture	tests/01_lexical_literals.pd	satisfied	1.0	-
N2-03	M2	N2	Float literals	fixture	tests/02_types_floats.pd	owed	1.0	-
N2-04	M2	N2	Char literals	fixture	tests/02_types_chars.pd	owed	1.0	-
N2-05	-	N2	String literals	fixture	tests/01_lexical_literals.pd	satisfied	1.0	-
N2-06	-	N2	Boolean literals	fixture	tests/01_lexical_literals.pd	satisfied	1.0	-
N2-07	-	N2	Line comments	fixture	tests/01_lexical_comments.pd	satisfied	1.0	-
N2-08	M2	N2	Block comments NEST	fixture	tests/01_lexical_comments.pd	owed	1.0	-
N2-09	M2	N2	Escape sequences in char and string literals	fixture	tests/01_lexical_escapes.pd	owed	1.0	-
N2-10	M2	N2	Attributes lex: #[name], #[name(args)], #![name(args)]	fixture	tests/02_attributes_lex.pd	owed	1.0	-
N2-11	M2	N2	An unknown attribute is a compile error, not a silently ignored annotation	reject	tests/reject/unknown_attribute.pd	owed	1.0	-

# --- N3 Program structure and items -----------------------------------------
N3-01	-	N3	Functions with typed parameters and return types	fixture	tests/03_functions_basic.pd	satisfied	1.0	-
N3-02	M2	N3	A function body's trailing expression is its value, in every tail position	fixture	tests/stdlib/stdlib_tail_return.pd	owed	1.0	-
N3-03	M2	N3	A value-returning function with no value on some path is a compile error	reject	tests/reject/missing_return.pd	owed	1.0	-
N3-04	-	N3	Structs	fixture	tests/02_types_structs.pd	satisfied	1.0	-
N3-05	M2	N3	Enums with unit, tuple and struct variants	fixture	tests/02_types_enums.pd	owed	1.0	-
N3-06	M3	N3	Traits as items	fixture	tests/07_traits_basic.pd	owed	1.0	-
N3-07	-	N3	Impl blocks	fixture	examples/tutorial/04_structs.pd	satisfied	1.0	-
N3-08	M3	N3	Type aliases emit a real type	fixture	tests/03_type_alias.pd	owed	1.0	-
N3-09	M2	N3	Top-level const items	fixture	tests/03_const_items.pd	owed	1.0	-
N3-10	M2	N3	Top-level static items	fixture	tests/03_static_items.pd	owed	1.0	-
N3-11	M4	N3	Module items	fixture	tests/12_modules_imports.pd	owed	1.0	-
N3-12	M2	N3	One macro system, pattern-based	fixture	tests/03_macros.pd	owed	1.0	-
N3-13	M2	N3	Macros are hygienic by default	fixture	tests/03_macro_hygiene.pd	owed	1.0	-
N3-14	M2	N3	There is no macro_rules!/proc-macro split — macro_rules! is refused	reject	tests/reject/macro_rules.pd	owed	1.0	-

# --- N4 Types ----------------------------------------------------------------
N4-01	-	N4	i32 i64 u32 u64	fixture	tests/02_types_primitives.pd	satisfied	1.0	-
N4-02	M2	N4	f32 f64	fixture	tests/02_types_floats.pd	owed	1.0	-
N4-03	-	N4	bool	fixture	tests/02_types_primitives.pd	satisfied	1.0	-
N4-04	M2	N4	char	fixture	tests/02_types_chars.pd	owed	1.0	-
N4-05	-	N4	String	fixture	tests/02_types_primitives.pd	satisfied	1.0	-
N4-06	-	N4	unit ()	fixture	tests/03_functions_basic.pd	satisfied	1.0	-
N4-07	-	N4	int is an alias for i64	fixture	tests/02_types_primitives.pd	satisfied	1.0	-
N4-08	M7	N4	str and usize are named normatively — add them or rewrite the sites	decision	D3	blocked	1.0	-
N4-09	-	N4	Arrays [T; N] - WITNESSED FOR CONCRETE ELEMENT TYPES ONLY ([i64; 5], an inferred [i64; 3], [String; 3]). PBS-1 excludes generics, so no witness can exercise a parameterised T; the row is an instance claim, not a claim about every T	fixture	tests/02_types_arrays.pd	satisfied	1.0	-
N4-10	M2	N4	Nested arrays [[T; M]; N], as locals and as parameters	fixture	tests/02_types_nested_arrays.pd	owed	1.0	-
N4-11	M3	N4	Slices [T]	fixture	tests/02_types_slices.pd	owed	1.0	-
N4-12	M2	N4	Tuples (A, B) with construction and .0 access	fixture	tests/02_types_tuples.pd	owed	1.0	-
N4-13	M7	N4	References ref T / ref mut T are a distinct type to the checker	fixture	tests/05_references.pd	owed	1.0	-
N4-14	M3	N4	Function types fn(A) -> B	fixture	tests/02_types_fn.pd	owed	1.0	-
N4-15	M3	N4	Named generic types Name<A, B>, monomorphised	fixture	tests/08_generics_basic.pd	owed	1.0	-
N4-16	M3	N4	Option<T> and Result<T, E> exist as generic types with working methods	fixture	tests/08_option_result.pd	owed	1.0	-
N4-17	M8	N4	Option and Result are in the PRELUDE — in scope with no import	fixture	tests/08_prelude_in_scope.pd	owed	1.0	-
N4-18	M3	N4	? propagates a Result error to the caller	fixture	tests/09_question_mark.pd	owed	1.0	-
N4-19	M3	N4	? converts error types where a conversion exists	fixture	tests/09_question_mark_convert.pd	owed	1.0	-
N4-20	-	N4	Local type inference needs no annotation on let	fixture	examples/tutorial/01_variables.pd	satisfied	1.0	-
N4-21	M3	N4	Const generics are evaluated at compile time and monomorphised	fixture	tests/08_const_generics.pd	owed	1.0	-

# --- N5 Statements and expressions -------------------------------------------
N5-01	-	N5	let, assignment, return, break, continue, expression statements	fixture	examples/tutorial/05_control_flow.pd	satisfied	1.0	-
N5-02	M5	N5	unsafe { } as a statement	fixture	tests/11_unsafe_blocks.pd	owed	1.0	-
N5-03	M2	N5	if is an expression: let x = if c { 1 } else { 2 };	fixture	tests/04_if_expression.pd	owed	1.0	-
N5-04	M2	N5	match is an expression	fixture	tests/06_match_expression.pd	owed	1.0	-
N5-05	M2	N5	Blocks are expressions	fixture	tests/04_block_expression.pd	owed	1.0	-
N5-06	M2	N5	else if	fixture	tests/04_else_if.pd	owed	1.0	-
N5-07	M2	N5	loop, exited by break, which may carry a value	fixture	tests/04_loop_break_value.pd	owed	1.0	-
N5-08	M3	N5	Closures with inferred capture, and a move form	fixture	tests/05_closures.pd	owed	1.0	-
